,station,valid,lon,lat,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar
380395,CKP,2008-01-19 19:23,-95.5538,42.7304,4.00,-10.00,51.33,290.00,11.00,M,30.34,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-12.92,M
4359464,1A5,2008-08-06 06:21,-83.42,35.22,66.20,62.60,88.18,0.00,0.00,M,30.16,M,3.00,M,CLR,   ,   ,M,M,M,M,M,BR,M,M,M,M,M,M,66.20,METAR K1A5 060621Z AUTO 00000KT 3SM BR CLR 19/17 A3016 RMK AO2
1156497,CCY,2008-02-26 22:43,-92.6132,43.073,25.00,18.00,74.36,310.00,16.00,M,30.09,M,10.00,25.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,11.29,M
6983283,RHP,2008-12-10 20:40,-83.863,35.1952,62.60,57.20,82.50,0.00,0.00,M,29.94,M,10.00,M,OVC,   ,   ,M,3100.00,M,M,M,M,M,M,M,M,M,M,62.60,METAR KRHP 102040Z AUTO 00000KT 10SM OVC031 17/14 A2994 RMK AO2
1963240,PEA,2008-04-06 14:17,-92.9431,41.3989,54.00,43.00,66.24,150.00,12.00,M,29.80,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,54.00,M
6341537,ORC,2008-11-10 10:45,-96.0606,42.9895,21.00,20.00,95.84,90.00,4.00,M,30.14,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,14.57,M
5479178,OXV,2008-09-29 16:33,-93.1114,41.2984,68.00,60.00,75.57,350.00,8.00,M,30.10,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,M
4476512,T65,2008-08-12 10:45,-97.9731,26.1776,80.60,77.00,88.83,170.00,7.00,M,29.75,M,7.00,M,OVC,   ,   ,M,2600.00,M,M,M,M,M,M,M,M,M,M,87.10,METAR KT65 121045Z AUTO 17007KT 7SM OVC026 27/25 A2975 RMK AO2 T02700250
3147572,CLM,2008-06-06 09:53,-123.5,48.12,46.04,42.98,88.99,80.00,3.00,M,29.77,1008.30,10.00,M,FEW,SCT,OVC,M,3600.00,6000.00,8000.00,M,-RA,M,M,M,M,M,M,44.74,METAR KCLM 060953Z AUTO 08003KT 10SM -RA FEW036 SCT060 OVC080 08/06 A2977 RMK AO2 RAB23 SLP083 P0000 T00780061
3458025,GGI,2008-06-21 16:55,-92.7332,41.7097,82.40,35.60,18.67,300.00,10.00,M,30.10,M,10.00,15.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,80.08,M
495446,HWV,2008-01-25 07:56,-72.8689,40.8217,21.92,6.98,52.01,330.00,10.00,M,30.20,1022.80,10.00,M,CLR,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,10.33,METAR KHWV 250756Z AUTO 33010KT 10SM CLR M06/M14 A3020 RMK AO2 SLP228 T10561139 TSNO
3233727,6R6,2008-06-10 19:53,-102.2129,30.046,96.08,64.94,36.11,140.00,13.00,M,29.89,1007.50,M,24.00,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,98.87,METAR K6R6 101953Z AUTO 14013G24KT 36/18 A2989 RMK AO2 SLP075 T03560183 PWINO TSNO
6089933,BBD,2008-10-28 07:05,-99.3239,31.1793,41.00,24.80,52.17,0.00,0.00,M,30.55,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,41.00,METAR KBBD 280705Z AUTO 00000KT 10SM CLR 05/M04 A3055 RMK
609944,ORC,2008-01-30 23:15,-96.0606,42.9895,3.20,-4.00,71.29,70.00,6.00,M,30.06,M,7.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-9.16,M
6695496,MXO,2008-11-27 03:43,-91.1605,42.2204,22.00,18.00,M,M,M,M,29.99,M,5.50,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
1521704,ORC,2008-03-15 16:03,-96.0606,42.9895,27.00,20.00,74.57,20.00,8.00,M,30.03,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,17.95,M
956950,TVK,2008-02-17 06:35,-92.8983,40.6832,32.00,32.00,100.00,110.00,4.00,M,29.59,M,3.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,27.42,M
2556779,MNZ,2008-05-07 11:09,-98.1486,31.6659,64.40,60.80,88.09,160.00,12.00,M,29.63,M,10.00,18.00,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,64.40,METAR KMNZ 071109Z AUTO 16012G18KT 10SM CLR 18/16 A2963 RMK AO2
2127510,11R,2008-04-15 08:22,-96.3742,30.2189,39.20,39.20,100.00,0.00,0.00,M,30.24,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,39.20,METAR K11R 150822Z AUTO 00000KT 10SM CLR 04/04 A3024 RMK AO2
5733331,PRX,2008-10-11 09:55,-95.4507,33.6366,59.00,57.20,93.74,120.00,7.00,M,30.05,M,5.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,59.00,METAR KPRX 110955Z AUTO 12007KT 5SM CLR 15/14 A3005 RMK AO1
5987946,MXO,2008-10-22 21:53,-91.1605,42.2204,53.00,27.00,36.36,110.00,15.00,M,30.19,M,10.00,21.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,53.00,M
7392015,MUT,2008-12-30 07:55,-91.1406,41.367,30.20,26.60,86.28,0.00,0.00,M,30.15,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.20,M
5034941,ELP,2008-09-08 16:51,-106.3758,31.8111,71.96,60.08,66.20,0.00,0.00,M,30.08,1013.20,10.00,M,FEW,   ,   ,M,2500.00,M,M,M,M,M,M,M,M,M,M,71.96,METAR KELP 081651Z 00000KT 10SM FEW025 22/16 A3008 RMK AO2 SLP132 CLDS TPG MTNS NW T02220156
1787268,MUT,2008-03-28 11:55,-91.1406,41.367,30.20,24.80,80.07,M,0.00,M,30.20,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.20,M
6409306,1A5,2008-11-13 19:04,-83.42,35.22,57.20,53.60,87.74,0.00,0.00,M,29.98,M,10.00,M,OVC,   ,   ,M,500.00,M,M,M,M,M,M,M,M,M,M,57.20,METAR K1A5 131904Z AUTO 00000KT 10SM OVC005 14/12 A2998 RMK AO2
6100718,LFK,2008-10-28 20:53,-94.75,31.234,64.04,21.92,19.80,10.00,5.00,M,30.46,1031.50,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,64.04,METAR KLFK 282053Z AUTO 01005KT 10SM CLR 18/M06 A3046 RMK AO2 SLP315 T01781056 56028
6551726,FRG,2008-11-20 16:53,-73.4134,40.7288,35.06,21.02,56.18,320.00,6.00,M,29.84,1010.40,10.00,M,BKN,BKN,BKN,   ,4100.00,4900.00,6000.00,M,M,M,M,M,M,M,M,29.22,METAR KFRG 201653Z 32006KT 10SM BKN041 BKN049 BKN060 02/M06 A2984 RMK AO2 SLP104 T00171061
5397720,SLK,2008-09-26 00:51,-74.2062,44.3853,53.96,48.92,83.00,0.00,0.00,M,30.43,1030.90,6.00,M,CLR,   ,   ,   ,M,M,M,M,HZ,M,M,M,M,M,M,53.96,METAR KSLK 260051Z AUTO 00000KT 6SM HZ CLR 12/09 A3043 RMK AO2 SLP309 T01220094
3285965,GYI,2008-06-13 11:05,-96.6737,33.7141,73.40,68.00,83.21,170.00,10.00,M,29.93,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,73.40,METAR KGYI 131105Z AUTO 17010KT 10SM CLR 23/20 A2993 RMK AO2
1178777,RDK,2008-02-27 22:55,-95.2624,41.0106,37.40,28.40,69.67,20.00,4.00,M,30.13,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,33.73,M
3365841,CSQ,2008-06-17 06:13,-94.3608,41.0188,56.00,48.00,74.45,330.00,6.00,M,30.13,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,56.00,M
4267683,PWG,2008-08-01 08:15,-97.3165,31.4849,82.40,71.60,69.90,180.00,12.00,M,29.85,M,10.00,15.00,SCT,   ,   ,M,12000.00,M,M,M,M,M,M,M,M,M,M,87.18,METAR KPWG 010815Z AUTO 18012G15KT 10SM SCT120 28/22 A2985 RMK AO1
3837693,ALW,2008-07-10 13:53,-118.289,46.0948,71.06,48.92,45.43,200.00,6.00,M,29.93,1012.40,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,70.00,METAR KALW 101353Z 20006KT 10SM CLR 22/09 A2993 RMK AO2 SLP124 T02170094
981061,HHF,2008-02-18 11:27,-100.404,35.895,32.00,17.60,54.87,0.00,0.00,M,30.11,M,10.00,M,SCT,SCT,   ,M,9000.00,10000.00,M,M,M,M,M,M,M,M,M,32.00,METAR KHHF 181127Z AUTO 00000KT 10SM SCT090 SCT100 00/M08 A3011 RMK AO2
6945613,EBG,2008-12-09 03:25,-98.1222,26.4417,73.58,67.10,80.18,180.00,13.00,M,29.73,M,7.00,18.00,SCT,   ,   ,M,1700.00,M,M,M,M,M,M,M,M,M,M,73.58,METAR KEBG 090325Z AUTO 18013G18KT 7SM SCT017 23/20 A2973 RMK AO2 T02310195
4716819,PKV,2008-08-24 14:06,-96.681,28.654,78.80,71.60,78.62,270.00,7.00,M,29.94,M,2.00,M,CLR,   ,   ,M,M,M,M,M,HZ,M,M,M,M,M,M,81.70,METAR KPKV 241406Z AUTO 27007KT 2SM HZ CLR 26/22 A2994 RMK AO2
5621627,TVK,2008-10-06 09:15,-92.8983,40.6832,60.80,55.40,M,M,M,M,30.04,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
4071533,HNR,2008-07-22 01:33,-95.3355,41.5834,75.00,70.00,84.46,20.00,4.00,M,29.97,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,76.17,M
26714,AXA,2008-01-02 08:53,-94.2724,43.0796,1.00,-4.00,78.95,320.00,9.00,M,30.64,M,M,18.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-15.03,M
2207616,SHN,2008-04-19 08:53,-123.1476,47.2336,33.98,30.92,88.42,200.00,3.00,M,29.89,1012.70,10.00,M,OVC,   ,   ,M,800.00,M,M,M,M,M,M,M,M,M,M,30.95,METAR KSHN 190853Z AUTO 20003KT 10SM OVC008 01/M01 A2989 RMK AO2 SLP127 T00111006 58006
1942178,CSQ,2008-04-05 13:16,-94.3608,41.0188,42.00,36.00,79.11,210.00,11.00,M,29.95,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,35.10,M
3967852,DEH,2008-07-17 00:33,-91.7433,43.2755,81.00,73.00,76.70,150.00,3.00,M,30.10,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,85.81,M
1308707,TNB,2008-03-05 20:43,-81.65,36.2,35.60,26.60,69.46,260.00,14.00,M,29.92,M,10.00,19.00,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,25.80,METAR KTNB 052043Z AUTO 26014G19KT 10SM CLR 02/M03 A2992 RMK AO2
6669946,PVW,2008-11-25 23:45,-101.7173,34.1681,59.00,23.00,24.76,200.00,7.00,M,30.06,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,59.00,METAR KPVW 252345Z AUTO 20007KT 10SM CLR 15/M05 A3006 RMK AO2
3765803,DPL,2008-07-06 23:00,-77.98,35.0,87.80,68.00,51.98,180.00,3.00,M,30.01,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,91.43,METAR KDPL 062300Z AUTO 18003KT 10SM CLR 31/20 A3001 RMK AO2
3337247,HNR,2008-06-15 21:53,-95.3355,41.5834,84.00,52.00,33.19,320.00,8.00,M,29.92,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,82.36,M
3306543,TCM,2008-06-14 10:55,-122.4765,47.1377,46.94,41.00,79.70,200.00,5.00,M,30.24,1024.30,10.00,M,OVC,   ,   ,M,2000.00,M,M,M,M,M,M,M,M,M,M,44.14,METAR KTCM 141055Z AUTO 20005KT 10SM OVC020 08/05 A3024 RMK AO2 SLP243 T00830050
4081980,GDJ,2008-07-22 13:25,-97.8169,32.4444,80.60,64.40,57.84,0.00,0.00,M,29.98,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,82.27,METAR KGDJ 221325Z AUTO 00000KT 10SM CLR 27/18 A2998 RMK AO2
1180610,PIL,2008-02-28 00:53,-97.3378,26.1597,53.06,41.00,63.47,110.00,5.00,M,30.29,1025.50,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,53.06,METAR KPIL 280053Z AUTO 11005KT 10SM CLR 12/05 A3029 RMK AO2 SLP255 T01170050
3553082,CPC,2008-06-26 09:37,-78.7146,34.2753,71.60,71.60,100.00,0.00,0.00,M,30.11,M,2.50,M,   ,   ,   ,M,M,M,M,M,BR,M,M,M,M,M,M,73.16,METAR KCPC 260937Z AUTO 00000KT 2 1/2SM BR 22/22 A3011 RMK AO2 SKY OBSCURED
6406809,CCY,2008-11-13 16:06,-92.6132,43.073,45.00,43.00,92.65,200.00,15.00,M,29.47,M,7.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,37.63,M
3722194,OOA,2008-07-04 19:38,-92.4919,41.2273,80.00,57.00,M,M,M,M,30.07,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
5820383,SHL,2008-10-15 07:15,-95.8353,43.2082,46.40,44.60,93.40,210.00,9.00,M,30.13,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,41.42,M
3714344,EBS,2008-07-04 10:36,-93.8691,42.4392,59.00,55.00,86.56,140.00,4.00,M,30.08,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,59.00,M
46662,CAV,2008-01-03 07:44,-93.7593,42.743,9.00,5.00,83.41,170.00,10.00,M,30.53,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-5.87,M
2749632,DSV,2008-05-17 07:54,-77.713,42.5709,42.98,39.02,85.79,140.00,9.00,M,29.65,1005.10,10.00,M,BKN,BKN,   ,   ,7500.00,9000.00,M,M,M,M,M,M,M,M,M,37.17,METAR KDSV 170754Z AUTO 14009KT 10SM BKN075 BKN090 06/04 A2965 RMK AO2 SLP051 T00610039
4971580,CAV,2008-09-05 11:55,-93.7593,42.743,46.40,46.40,M,M,M,M,29.96,M,1.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M
3649035,BEA,2008-07-01 07:23,-97.791,28.3619,75.20,71.60,88.59,50.00,3.00,M,30.05,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,76.58,METAR KBEA 010723Z AUTO 05003KT 10SM CLR 24/22 A3005 RMK AO2
1333772,SNK,2008-03-07 01:26,-100.9505,32.6934,35.60,28.40,74.80,360.00,6.00,M,30.14,M,10.00,M,SCT,OVC,   ,M,4300.00,6000.00,M,M,M,M,M,M,M,M,M,29.87,METAR KSNK 070126Z AUTO 36006KT 10SM SCT043 OVC060 02/M02 A3014 RMK AO2
2529904,LBT,2008-05-06 01:54,-79.06,34.61,64.04,60.08,86.95,60.00,4.00,M,30.00,1015.80,7.00,M,SCT,BKN,OVC,M,5500.00,7500.00,9500.00,M,-RA,M,M,M,M,M,M,64.04,METAR KLBT 060154Z AUTO 06004KT 7SM -RA SCT055 BKN075 OVC095 18/16 A3000 RMK AO2 RAB38 SLP158 P0000 T01780156
4736145,BEA,2008-08-25 12:04,-97.791,28.3619,73.40,M,M,310.00,3.00,M,29.88,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,M,METAR KBEA 251204Z AUTO 31003KT 10SM CLR 23/ A2988 RMK AO2
426669,T82,2008-01-22 01:45,-98.9092,30.2432,57.20,55.40,93.69,150.00,3.00,M,30.12,M,0.50,M,OVC,   ,   ,M,100.00,M,M,M,M,M,M,M,M,M,M,57.20,METAR KT82 220145Z AUTO 15003KT 1/2SM OVC001 14/13 A3012 RMK AO1
3786302,EOK,2008-07-07 23:33,-91.4274,40.4615,92.00,75.00,57.75,210.00,8.00,M,29.80,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,103.19,M
7133928,3T5,2008-12-17 22:25,-96.95,29.91,53.60,51.80,93.60,0.00,4.00,M,30.10,M,1.25,M,OVC,   ,   ,M,700.00,M,M,M,BR,M,M,M,M,M,M,53.60,METAR K3T5 172225Z AUTO 00004KT 1 1/4SM BR OVC007 12/11 A3010 RMK AO2
1061850,AFP,2008-02-22 11:00,-80.0771,35.0206,33.80,33.80,100.00,360.00,5.00,M,30.03,M,3.00,M,OVC,   ,   ,M,600.00,M,M,M,RA,M,M,M,M,M,M,28.53,METAR KAFP 221100Z AUTO 36005KT 3SM RA OVC006 01/01 A3003 RMK AO2
7216270,BNW,2008-12-21 22:43,-93.8486,42.0486,-2.00,-8.00,74.93,290.00,18.00,M,30.34,M,5.50,25.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-25.01,M
5001891,HNZ,2008-09-06 23:40,-78.53,36.36,80.60,73.40,78.76,210.00,4.00,M,29.86,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,85.32,METAR KHNZ 062340Z AUTO 21004KT 10SM CLR 27/23 A2986 RMK AO2
207653,PYX,2008-01-11 09:49,-100.75,36.414,30.20,26.60,86.28,220.00,4.00,M,29.83,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,25.32,METAR KPYX 110949Z AUTO 22004KT 10SM CLR M01/M03 A2983 RMK AO2
961921,RWV,2008-02-17 12:25,-96.7041,30.5155,42.80,42.80,100.00,210.00,8.00,M,29.77,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,37.42,METAR KRWV 171225Z AUTO 21008KT 10SM CLR 06/06 A2977 RMK AO2
5589064,PLU,2008-10-04 21:30,-122.2872,47.1039,57.20,51.80,82.12,220.00,11.00,M,29.55,M,10.00,26.00,FEW,SCT,BKN,M,1600.00,2200.00,3000.00,M,-DZ,M,M,M,M,M,M,57.20,METAR KPLU 042130Z AUTO 22011G26KT 10SM -DZ FEW016 SCT022 BKN030 14/11 A2955 RMK AO2
143223,TFP,2008-01-08 07:45,-97.2115,27.913,69.80,69.80,100.00,150.00,12.00,M,29.89,M,7.00,16.00,BKN,BKN,OVC,M,1300.00,1700.00,2500.00,M,M,M,M,M,M,M,M,69.80,METAR KTFP 080745Z AUTO 15012G16KT 7SM BKN013 BKN017 OVC025 21/21 A2989 RMK AO2
5773006,PEA,2008-10-13 03:55,-92.9431,41.3989,68.00,62.60,82.86,150.00,8.00,M,30.14,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,68.00,M
1072997,ASJ,2008-02-22 23:23,-77.17,36.3,39.20,37.40,93.19,0.00,0.00,M,29.87,M,1.75,M,OVC,   ,   ,M,300.00,M,M,M,BR,M,M,M,M,M,M,39.20,METAR KASJ 222323Z AUTO 00000KT 1 3/4SM BR OVC003 04/03 A2987 RMK AO2
2616419,JNX,2008-05-10 13:22,-78.3903,35.5409,69.80,64.40,82.98,250.00,3.00,M,29.73,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,69.80,METAR KJNX 101322Z AUTO 25003KT 10SM CLR 21/18 A2973 RMK AO1
1115240,ORC,2008-02-24 22:03,-96.0606,42.9895,34.00,31.00,88.63,310.00,3.00,M,29.86,M,3.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,30.97,M
1162183,SDA,2008-02-27 04:54,-95.4112,40.7533,22.00,16.00,77.34,M,0.00,M,30.23,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,22.00,M
3836005,EWN,2008-07-10 11:54,-77.0472,35.0675,73.94,69.98,87.45,240.00,4.00,M,30.05,1017.40,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,75.14,METAR KEWN 101154Z 24004KT 10SM CLR 23/21 A3005 RMK AO2 SLP174 60000 70001 T02330211 10233 20217 51013
2299891,ORC,2008-04-24 01:35,-96.0606,42.9895,69.80,50.00,49.37,140.00,9.00,M,29.88,M,10.00,16.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.80,M
87603,OMK,2008-01-05 08:53,-119.5181,48.4644,39.02,30.92,72.46,170.00,11.00,0.05,28.99,982.40,10.00,M,BKN,BKN,   ,M,4400.00,5500.00,M,M,M,M,M,M,M,M,M,31.34,METAR KOMK 050853Z AUTO 17011KT 10SM BKN044 BKN055 04/M01 A2899 RMK AO2 SLP824 P0005 60013 T00391006 51013
349992,IAG,2008-01-18 07:53,-78.9462,43.1073,37.04,35.06,92.46,220.00,22.00,0.06,29.67,1005.80,4.00,26.00,OVC,   ,   ,   ,900.00,M,M,M,-RA BR,M,M,M,M,M,M,25.33,METAR KIAG 180753Z AUTO 22022G26KT 4SM -RA BR OVC009 03/02 A2967 RMK AO2 PK WND 20028/0656 CIG 007V013 SLP058 P0006 T00280017
3815720,MNZ,2008-07-09 11:49,-98.1486,31.6659,66.20,64.40,93.92,170.00,4.00,M,30.07,M,5.00,M,CLR,   ,   ,M,M,M,M,M,BR,M,M,M,M,M,M,66.20,METAR KMNZ 091149Z AUTO 17004KT 5SM BR CLR 19/18 A3007 RMK AO2 LTG DSNT NW
4035738,OOA,2008-07-20 07:05,-92.4919,41.2273,71.00,69.00,93.40,220.00,4.00,M,29.91,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,72.19,M
5396181,ECU,2008-09-25 23:05,-100.1739,29.9469,82.40,51.80,34.69,70.00,5.00,M,30.21,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,81.20,METAR KECU 252305Z AUTO 07005KT 10SM CLR 28/11 A3021 RMK AO2
4680688,LUD,2008-08-22 21:45,-97.5805,33.2542,93.20,62.60,36.35,140.00,9.00,M,29.90,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,93.20,METAR KLUD 222145Z AUTO 14009KT 10SM CLR 34/17 A2990 RMK AO2
7079229,TDF,2008-12-15 07:21,-78.9842,36.2849,44.60,39.20,81.20,0.00,0.00,M,30.41,M,10.00,M,OVC,   ,   ,M,8000.00,M,M,M,M,M,M,M,M,M,M,44.60,METAR KTDF 150721Z AUTO 00000KT 10SM OVC080 07/04 A3041 RMK AO1
594591,DEH,2008-01-30 05:34,-91.7433,43.2755,-8.00,-17.00,63.79,300.00,11.00,M,29.75,M,10.00,27.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-28.08,M
432907,AUS,2008-01-22 08:53,-97.6699,30.1945,53.96,53.06,96.76,10.00,3.00,M,30.12,1020.00,0.00,M,VV ,   ,   ,M,100.00,M,M,M,FG,M,M,M,M,M,M,53.96,METAR KAUS 220853Z 01003KT 0SM FG VV001 12/12 A3012 RMK AO2 SLP200 T01220117 58008 RVRNO $
29066,SLB,2008-01-02 11:33,-95.2399,42.5972,-1.00,-6.00,78.77,310.00,11.00,M,30.69,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-19.24,M
1704424,FFL,2008-03-24 03:46,-91.9834,41.0521,33.00,27.00,78.34,310.00,7.00,M,30.39,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,26.00,M
2236885,SEA,2008-04-20 20:53,-122.3144,47.4447,42.98,32.00,64.93,10.00,5.00,M,30.03,1018.00,10.00,M,SCT,BKN,   ,M,2600.00,4500.00,M,M,M,M,M,M,M,M,M,39.44,METAR KSEA 202053Z 01005KT 10SM SCT026 BKN045 06/00 A3003 RMK AO2 RAB03E13 SLP180 P0000 60000 T00610000 50002 $
1188736,GLE,2008-02-28 16:24,-97.1969,33.6514,55.40,24.80,30.40,190.00,16.00,M,30.04,M,10.00,20.00,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,55.40,METAR KGLE 281624Z AUTO 19016G20KT 10SM CLR 13/M04 A3004 RMK AO2
4588291,CIN,2008-08-18 08:15,-94.7889,42.0444,64.40,59.00,82.62,230.00,6.00,M,30.01,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,64.40,M
4658976,OOA,2008-08-21 19:35,-92.4919,41.2273,73.40,69.80,88.51,170.00,7.00,M,29.92,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,74.60,M
2565000,JFK,2008-05-07 21:51,-73.7622,40.6386,62.96,39.02,41.18,160.00,14.00,0.00,29.88,1011.80,10.00,17.00,BKN,   ,   ,   ,25000.00,M,M,M,M,M,M,M,M,M,M,62.96,KJFK 072151Z 16014G17KT 10SM BKN250 17/04 A2988 RMK AO2 SLP118 T01720039 $
3070572,GPM,2008-06-02 18:50,-97.0469,32.6988,89.60,68.00,49.10,170.00,11.00,M,29.89,M,10.00,18.00,FEW,   ,   ,M,30000.00,M,M,M,M,M,M,M,M,M,M,93.47,METAR KGPM 021850Z 17011G18KT 10SM FEW300 32/20 A2989
3969755,PWT,2008-07-17 02:35,-122.7648,47.4903,71.60,48.20,43.42,210.00,9.00,M,30.15,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,70.50,METAR KPWT 170235Z AUTO 21009KT 10SM CLR 22/09 A3015 RMK AO1
2600644,LRJ,2008-05-09 17:48,-96.1923,42.7754,60.00,50.00,69.49,50.00,6.00,M,29.90,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,60.00,M
6946025,GKY,2008-12-09 03:53,-97.0943,32.6639,69.08,60.98,75.40,190.00,12.00,M,29.65,1003.30,10.00,22.00,FEW,   ,   ,M,2700.00,M,M,M,M,M,M,M,M,M,M,69.08,METAR KGKY 090353Z AUTO 19012G22KT 10SM FEW027 21/16 A2965 RMK AO2 PK WND 17028/0329 LTG DSNT SW-N PRESRR SLP033 T02060161
6030186,PVW,2008-10-24 20:45,-101.7173,34.1681,73.40,23.00,15.03,280.00,6.00,M,29.98,M,10.00,M,CLR,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,71.15,METAR KPVW 242045Z AUTO 28006KT 10SM CLR 23/M05 A2998 RMK AO2
2135961,F05,2008-04-15 18:45,-99.2837,34.2257,77.00,41.00,27.53,180.00,20.00,M,29.96,M,10.00,25.00,   ,   ,   ,M,M,M,M,M,M,M,M,M,M,M,M,75.69,METAR KF05 151845Z AUTO 18020G25KT 10SM 25/05 A2996 RMK AO2
1956882,CSQ,2008-04-06 06:55,-94.3608,41.0188,44.60,35.60,70.48,160.00,11.00,M,29.76,M,10.00,-99.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,38.39,M
4168250,LRJ,2008-07-26 15:05,-96.1923,42.7754,69.00,63.00,81.19,310.00,4.00,M,30.16,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,69.00,M
4527300,CNC,2008-08-15 04:44,-93.3608,41.0184,66.00,60.00,80.98,90.00,6.00,M,30.03,M,10.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,66.00,M
